Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,compound,neutral,negative,positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,title,tmdb_id,overview,status
The Grand Seduction,2013,4.0,64,0,0,1,0,12700000.0,3430018.0,112.0,The small town of Tickle Cove needed a doctor. What they got was a miracle.,0.2700801574803149,30625.160714285717,0.5859,0.759,0.0,0.241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,The Grand Seduction,209185,"A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor’s time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops and begin The Grand Seduction.",success
The Grandmaster,2013,18.0,67,1,0,0,0,38600000.0,64076736.0,130.0,"In Martial Arts there is no right or wrong, only the last man standing.",1.660019067357513,492897.9692307692,-0.6486,0.694,0.306,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,The Grandmaster,44865,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",success
The Grapes of Wrath,1940,0.0,75,0,1,0,0,800000.0,1591000.0,129.0,The Joads step right out of the pages of the novel that has shocked millions!,1.98875,12333.333333333334,0.0,0.739,0.131,0.131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,G,The Grapes of Wrath,596,"Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.",success
The Great Mouse Detective,1986,4.0,70,0,0,0,1,14000000.0,38600000.0,74.0,London's crime-fighting ace on his most baffling case!,2.757142857142857,521621.6216216216,0.0,1.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,G,The Great Mouse Detective,9994,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",success
The Great Muppet Caper,1981,6.0,65,0,0,0,1,14000000.0,31206251.0,97.0,The Muppets... Scotland Yard... jewel thieves... lead to high adventure in London.,2.2290179285714284,321713.92783505155,0.5859,0.676,0.0,0.324,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,G,The Great Muppet Caper,14900,"Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.",success
The Greatest Show on Earth,1952,0.0,62,0,0,1,0,4000000.0,36000000.0,152.0,"The Heartbeat Story of Circus People, Filmed with the Cooperation of Ringling Bros. - Barnum and Bailey Circus!",9.0,236842.1052631579,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Unknown,The Greatest Show on Earth,27191,"To ensure a full profitable season, circus manager Brad Braden engages The Great Sebastian, though this moves his girlfriend Holly from her hard-won center trapeze spot. Holly and Sebastian begin a dangerous one-upmanship duel in the ring, while he pursues her on the ground.",success
The Greatest Showman,2017,14.0,82,0,0,0,1,84000000.0,459066134.0,105.0,The impossible comes true.,5.465073023809524,4372058.419047619,0.4215,0.517,0.0,0.483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG,The Greatest Showman,316029,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",success
The Green Hornet,2011,17.0,69,0,0,1,0,120000000.0,227817248.0,119.0,Breaking the Law to Protect It.,1.8984770666666664,1914430.655462185,0.3818,0.658,0.0,0.342,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,The Green Hornet,40805,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",success
The Green Inferno,2015,2.0,64,1,0,0,0,5000000.0,12931420.0,100.0,Fear will eat you alive.,2.586284,129314.2,-0.1531,0.341,0.364,0.295,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,The Green Inferno,171424,"A group of student activists travel from New York City to the Amazon to save the rainforest.  However, once they arrive in this vast green landscape, they soon discover that they are not alone… and that no good deed goes unpunished.",success
The Grudge,2004,5.0,70,0,0,1,0,10000000.0,183474602.0,92.0,It never forgives. It never forgets.,18.3474602,1994289.152173913,-0.3089,0.689,0.311,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,PG-13,The Grudge,1970,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",success
